track_name,artist_name,album_name,track_url,popularity,duration_ms,popularity_normalized,duration_min,duration_normalized,alt z,art pop,atl hip hop,bedroom pop,canadian contemporary r&b,chicago rap,children's music,chill abstract hip hop,classic oklahoma country,conscious hip hop,contemporary country,corrido,country rap,dark r&b,dark trap,dfw rap,flamenco fusion,florida drill,gen z singer-songwriter,hip hop,indie folk,indie pop,irish singer-songwriter,k-pop,memphis hip hop,metropopolis,modern country pop,pop,pop soul,puerto rican pop,r&b,rap,reggaeton,romanian pop,singer-songwriter pop,slowed and reverb,social media pop,southern hip hop,trap queen,uk pop,cluster,pca_1,pca_2
Hey Now,London Grammar,If You Wait (Deluxe Version),https://open.spotify.com/track/2ENgaBS5vLUpqUw8inkZZp,55,205560,0.55,3.426,0.3234829956594289,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5530.282067803316,-23.229219401315888
Help Me,Real Boston Richey,Help Me,https://open.spotify.com/track/487JCvAXVblflZyDJn3fSp,69,181165,0.69,3.019416666666667,0.2585607187623917,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-18864.717601577297,-8.657761971560586
Residuals,Chris Brown,11:11 (Deluxe),https://open.spotify.com/track/4t4rGgiVX7woTmlnW9SHJ7,70,215178,0.7,3.5863,0.34907932520219187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,15148.282417296297,-8.45344619856108
Am I Okay?,Megan Moroney,Am I Okay?,https://open.spotify.com/track/36wAwEkSDpNQ4oQeRLYC3L,75,235002,0.75,3.9167,0.4018368253951357,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,34972.28253178611,-3.9167012996161485
Diamond Boy (DTM),SZA,SOS Deluxe: LANA,https://open.spotify.com/track/0SCIwbS0Q4etwJmDyNjHaQ,80,217523,0.8,3.625383333333333,0.3553200605710605,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,17493.28265019562,1.4955648307370117
I Ain't Sayin',Jordan Davis,I Ain't Sayin',https://open.spotify.com/track/7lCs3stpWCtAn5Y2lmnPhV,73,174060,0.73,2.901,0.23965222204775957,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-25969.717506864537,-4.491416741265005
What Do I Do,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/6jTQijAuYxOd8DjQ8D6UkL,81,167448,0.81,2.7908,0.22205574347251017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,-32581.717319733365,3.6667363697871886
Heart Of A Woman,Summer Walker,Heart Of A Woman,https://open.spotify.com/track/2oVVaVY0LkzwAYYcyzon6Z,73,171000,0.73,2.85,0.23150866118262603,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,-29029.717506638444,-4.420164044616491
Another Life,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/4tfOoCcYPtb08J5HWlSo3r,80,205214,0.8,3.4202333333333335,0.3225621877969007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,5184.282651837766,1.7834483294649524
No Pole,Don Toliver,Love Sick (Deluxe),https://open.spotify.com/track/0eaVIYo2zeOaGJeqZ5TwYz,86,187613,0.86,3.1268833333333332,0.2757207450559803,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,-12416.717204772445,8.192491670917327
Empty Out Your Pockets,Juice WRLD,The Party Never Ends 2.0,https://open.spotify.com/track/2QxekHjOYDnzNO5w8hu2D9,84,135653,0.84,2.260883333333333,0.1374398880127316,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,-64376.717244838364,7.407667263430986
Dos Días,Fondo Flamenco,Flamenkito Puroh,https://open.spotify.com/track/7iEEJBIZraXurV2hFLVHFi,49,230482,0.49,3.8413666666666666,0.38980777470546124,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,30452.281924239644,-29.81250080835473
